Model,Weight_g,Max_Speed_ms,Flight_Time_min,Actual_Flight_Time_min,Range_km,Camera_MP,Price_USD
Generic_UAV_Platform_27,2416,18,40,29.5,14,12,6115
Generic_UAV_Platform_28,2942,12,44,39.5,14,48,8001
Generic_UAV_Platform_29,392,17,42,38.2,10,48,4152
Generic_UAV_Platform_30,3055,14,49,42.4,5,20,8197
Generic_UAV_Platform_31,810,21,42,32.9,11,108,5151
Generic_UAV_Platform_32,451,18,33,25.1,10,64,3846
Generic_UAV_Platform_33,9171,17,34,26.2,12,64,16551
Generic_UAV_Platform_34,10361,17,32,23.1,5,48,17685
Generic_UAV_Platform_35,5206,20,37,26.4,7,20,9715
Generic_UAV_Platform_36,1339,16,24,19.8,12,64,4735
Generic_UAV_Platform_37,558,21,38,28.1,16,48,3906
Generic_UAV_Platform_38,3708,22,34,28.8,14,108,9622
Generic_UAV_Platform_39,1990,16,37,28.8,10,64,6003
Generic_UAV_Platform_40,640,14,37,32.1,7,48,3771
Generic_UAV_Platform_41,2300,15,15,11.8,12,48,5568
Generic_UAV_Platform_42,354,20,25,20.7,4,12,1277
Generic_UAV_Platform_43,7451,18,33,25.2,5,108,14998
Generic_UAV_Platform_44,1148,20,34,25.9,17,12,3706
Generic_UAV_Platform_45,3508,25,37,31.4,12,20,7888
Generic_UAV_Platform_46,1370,18,38,32.9,8,12,3520
Generic_UAV_Platform_47,2452,14,50,44.7,14,12,7165
Generic_UAV_Platform_48,2623,22,38,32.6,16,64,7220
Generic_UAV_Platform_49,863,18,31,26.1,7,48,3937
Generic_UAV_Platform_50,10728,21,19,14.7,7,108,19002
Generic_UAV_Platform_51,4726,22,21,14.9,7,12,8648
Generic_UAV_Platform_52,8665,14,40,28.5,14,108,17180
Generic_UAV_Platform_53,7006,23,45,30.5,14,12,13603
Generic_UAV_Platform_54,2983,21,50,38.3,16,20,6654
Generic_UAV_Platform_55,7898,15,26,19.4,15,12,13474
Generic_UAV_Platform_56,527,19,31,24.4,2,64,3824
Generic_UAV_Platform_57,904,19,37,32.4,11,48,4073
Generic_UAV_Platform_58,388,18,55,44.3,4,20,3530
Generic_UAV_Platform_59,1430,21,36,27.8,7,12,4004
Generic_UAV_Platform_60,1726,23,50,40.3,10,108,7336
Generic_UAV_Platform_61,1199,18,36,27.4,14,20,3094
Generic_UAV_Platform_62,5543,23,46,37.1,5,20,11496
Generic_UAV_Platform_63,1573,21,45,33.2,2,12,4609
Generic_UAV_Platform_64,1239,18,36,32.4,10,20,4121
Generic_UAV_Platform_65,2597,18,24,20.4,23,108,7438
Generic_UAV_Platform_66,705,13,32,25.3,8,20,2795
Generic_UAV_Platform_67,5111,11,49,35.4,10,108,12211
Generic_UAV_Platform_68,482,18,43,37.9,18,12,2096
Generic_UAV_Platform_69,13252,14,30,22.3,12,48,22704
Generic_UAV_Platform_70,4688,17,31,25.6,11,20,9522
Generic_UAV_Platform_71,914,15,17,14.9,12,48,2331
Generic_UAV_Platform_72,266,10,49,38.3,11,108,4806
Generic_UAV_Platform_73,5319,19,43,32.4,4,20,9914
Generic_UAV_Platform_74,3931,16,33,24.3,3,64,8738
Generic_UAV_Platform_75,4166,18,37,31.4,19,48,9383
Generic_UAV_Platform_76,4675,14,15,12.3,10,20,8655
Generic_UAV_Platform_77,480,16,30,24.2,10,48,3740
Generic_UAV_Platform_78,1581,24,48,34.9,9,20,5826
Generic_UAV_Platform_79,619,18,44,35.0,13,12,3257
Generic_UAV_Platform_80,6215,20,38,28.0,22,48,11609
Generic_UAV_Platform_81,3178,12,34,29.2,12,64,7690
Generic_UAV_Platform_82,1455,27,42,34.1,7,64,5878
Generic_UAV_Platform_83,447,25,32,27.8,9,108,3817
Generic_UAV_Platform_84,1367,23,18,14.4,15,20,4180
Generic_UAV_Platform_85,1429,21,34,25.4,7,48,5251
Generic_UAV_Platform_86,4173,18,39,32.2,14,108,10266
Generic_UAV_Platform_87,3294,19,46,38.6,2,48,7846
Generic_UAV_Platform_88,6796,22,20,15.2,8,20,11260
Generic_UAV_Platform_89,2167,15,33,28.6,13,64,6217
Generic_UAV_Platform_90,632,16,34,28.3,16,12,2774
Generic_UAV_Platform_91,3997,11,23,18.8,5,64,8900
Generic_UAV_Platform_92,4541,14,39,30.7,2,108,10750
Generic_UAV_Platform_93,2721,24,42,29.9,8,12,6673
Generic_UAV_Platform_94,4671,16,32,23.3,4,108,10752
Generic_UAV_Platform_95,2292,16,55,40.6,9,20,6722
Generic_UAV_Platform_96,2469,19,31,25.6,9,12,5378
Generic_UAV_Platform_97,1923,11,30,24.1,3,108,6897
Generic_UAV_Platform_98,327,21,30,24.6,14,20,2751
Generic_UAV_Platform_99,592,23,26,22.8,9,64,3697
Generic_UAV_Platform_100,345,19,29,22.7,15,20,2670
Generic_UAV_Platform_101,3285,24,20,15.3,2,48,6415
Generic_UAV_Platform_102,1382,12,33,29.1,4,20,4284
Generic_UAV_Platform_103,2381,25,35,26.0,12,20,6345
Generic_UAV_Platform_104,7393,15,15,10.5,6,48,13044
Generic_UAV_Platform_105,1110,12,33,26.6,9,108,4960
Generic_UAV_Platform_106,1834,17,35,26.7,10,108,6637
Generic_UAV_Platform_107,4476,25,40,33.3,10,20,9301
Generic_UAV_Platform_108,1029,17,47,41.2,6,48,4475
Generic_UAV_Platform_109,490,14,43,37.1,10,48,3166
Generic_UAV_Platform_110,1276,12,28,25.3,6,64,4436
Generic_UAV_Platform_111,777,17,27,23.7,13,108,4305
Generic_UAV_Platform_112,8214,10,40,29.1,9,12,14554
Generic_UAV_Platform_113,5202,12,29,25.0,10,108,10618
Generic_UAV_Platform_114,3260,24,22,17.3,22,108,8432
Generic_UAV_Platform_115,6404,23,58,46.4,4,64,13469
Generic_UAV_Platform_116,5133,17,31,26.3,16,12,9986
Generic_UAV_Platform_117,869,16,28,22.4,2,64,3845
Generic_UAV_Platform_118,6942,18,15,10.5,2,12,11391
Generic_UAV_Platform_119,2575,27,43,31.6,3,20,6326
Generic_UAV_Platform_120,5192,19,25,19.1,4,12,8934
Generic_UAV_Platform_121,7042,21,35,28.0,11,64,14829
Generic_UAV_Platform_122,1398,17,44,38.8,11,108,6210
Generic_UAV_Platform_123,599,18,25,18.6,8,12,2899
Generic_UAV_Platform_124,1026,20,35,28.6,9,12,2983
Generic_UAV_Platform_125,1921,18,50,40.0,12,48,6527
Generic_UAV_Platform_126,5361,10,15,11.4,14,108,11190
Generic_UAV_Platform_127,6164,23,26,18.1,3,20,10934
Generic_UAV_Platform_128,270,15,25,20.3,8,64,2650
Generic_UAV_Platform_129,2394,26,33,28.2,9,20,5510
Generic_UAV_Platform_130,1870,20,34,26.5,12,108,6464
Generic_UAV_Platform_131,1003,18,24,19.8,6,12,4145
Generic_UAV_Platform_132,633,19,28,24.0,9,12,2578
Generic_UAV_Platform_133,1485,17,27,21.6,10,108,5999
Generic_UAV_Platform_134,8839,16,31,25.5,6,12,15938
Generic_UAV_Platform_135,1421,18,37,33.1,6,12,3783
Generic_UAV_Platform_136,2444,21,44,33.4,10,12,6124
Generic_UAV_Platform_137,3892,16,45,36.0,9,64,9234
Generic_UAV_Platform_138,1605,15,41,32.5,12,64,5694
Generic_UAV_Platform_139,10953,16,26,18.1,4,48,18600
Generic_UAV_Platform_140,10096,21,34,22.2,8,20,16879
Generic_UAV_Platform_141,1120,23,58,47.8,8,108,6837
Generic_UAV_Platform_142,2312,19,45,36.3,14,108,7347
Generic_UAV_Platform_143,1323,20,30,22.2,5,108,6138
Generic_UAV_Platform_144,1255,15,50,39.6,11,48,5653
Generic_UAV_Platform_145,362,21,31,27.5,11,64,3127
Generic_UAV_Platform_146,3071,20,28,21.1,18,48,6744
Generic_UAV_Platform_147,2345,15,48,36.5,4,108,8214
Generic_UAV_Platform_148,408,10,21,17.9,6,20,1663
Generic_UAV_Platform_149,1229,13,15,13.8,5,12,3738
Generic_UAV_Platform_150,7416,15,44,32.0,2,64,14782
Generic_UAV_Platform_151,1071,22,35,29.3,18,64,4832
Generic_UAV_Platform_152,719,24,36,30.6,3,48,4178
Generic_UAV_Platform_153,2266,16,31,24.0,5,64,5940
Generic_UAV_Platform_154,12982,16,32,23.7,16,108,23777
Generic_UAV_Platform_155,1081,19,30,23.9,2,108,5338
Generic_UAV_Platform_156,3595,18,28,22.9,13,48,8227
Generic_UAV_Platform_157,4551,21,31,24.8,2,108,10438
Generic_UAV_Platform_158,1063,15,30,25.1,16,20,4152
Generic_UAV_Platform_159,4158,21,26,18.6,2,48,8697
Generic_UAV_Platform_160,1625,17,29,25.4,2,20,5378
Generic_UAV_Platform_161,3251,21,15,11.4,7,12,5682
Generic_UAV_Platform_162,3261,16,41,31.0,14,20,7443
Generic_UAV_Platform_163,2552,15,38,28.1,9,12,5453
Generic_UAV_Platform_164,533,25,34,27.9,8,12,2475
Generic_UAV_Platform_165,5660,22,37,29.2,16,20,11049
Generic_UAV_Platform_166,1410,10,37,28.2,20,48,5489
Generic_UAV_Platform_167,869,16,27,22.5,13,108,6295
Generic_UAV_Platform_168,374,22,29,22.4,6,108,4123
Generic_UAV_Platform_169,2931,13,40,33.7,7,12,6170
Generic_UAV_Platform_170,3645,21,37,27.2,3,12,7933
Generic_UAV_Platform_171,300,20,55,47.0,10,48,3597
Generic_UAV_Platform_172,2402,15,51,40.8,2,64,7715
Generic_UAV_Platform_173,1020,17,44,39.5,12,20,3879
Generic_UAV_Platform_174,3358,10,27,20.6,20,12,6732
Generic_UAV_Platform_175,824,25,29,22.5,13,108,5391
Generic_UAV_Platform_176,3772,16,24,17.7,7,48,7763
Generic_UAV_Platform_177,1716,21,37,32.4,12,20,5290
Generic_UAV_Platform_178,8531,20,15,12.0,18,48,14942
Generic_UAV_Platform_179,693,23,30,23.1,17,20,2007
Generic_UAV_Platform_180,1501,16,31,26.4,4,20,3751
Generic_UAV_Platform_181,611,18,19,16.7,12,12,1326
Generic_UAV_Platform_182,8008,20,42,31.7,9,48,16072
Generic_UAV_Platform_183,6545,21,23,17.5,14,48,11875
Generic_UAV_Platform_184,1144,22,37,28.4,11,108,6616
Generic_UAV_Platform_185,3486,16,62,45.7,2,108,9673
Generic_UAV_Platform_186,5348,15,18,15.3,8,12,8876
Generic_UAV_Platform_187,2680,23,33,28.2,10,12,6310
Generic_UAV_Platform_188,2512,10,30,25.7,2,64,6637
Generic_UAV_Platform_189,1080,24,28,21.7,12,108,5446
Generic_UAV_Platform_190,543,16,42,33.9,2,20,2688
Generic_UAV_Platform_191,7075,17,46,36.8,6,48,14560
Generic_UAV_Platform_192,7170,15,42,34.9,16,12,13483
Generic_UAV_Platform_193,3258,17,27,23.4,5,48,7397
Generic_UAV_Platform_194,1492,23,59,50.0,12,48,5806
